番号,賞名,学会等名,題名,年,月,日,URL,備考
1,Student Presentation Award,2021 International Conference on Emerging Technologies for Communications (ICETC 2021),Generation of one-dimensional random walks driven by quantum walks,2021,12,1,https://www.ieice.org/cs/icetc/2021/program.html,
2,Student Paper Award,2022 International Symposium on Nonlinear Theory and Its Applications (NOLTA 2022),Skeleton Structure Inherent in Quantum Walks,2022,12,15,https://www.ieice.org/nolta/symposium/archive/2022/HP/#awards,
